created_at,message_experience,persuasion,number_of_recipients,is_first_email,is_last_email,is_verbose,is_replied_within_30,is_accepted_patch
2021-09-01 01:36:00+00:00,31.64,9.84,5.9,5.9,8.25,7.75,7.75,5.78
2021-09-01 01:38:00+00:00,30.33,10.61,6.51,6.51,8.47,7.81,7.81,6.69
2021-09-01 01:40:00+00:00,30.64,11.33,5.89,5.89,7.24,8.19,8.19,7.62
2021-09-01 01:42:00+00:00,28.84,9.62,5.53,5.53,7.64,8.52,8.52,7.3825
2021-09-01 01:44:00+00:00,28.31,9.04,5.4,5.4,7.02,8.02,8.02,7.145
2021-09-01 01:46:00+00:00,29.58,11.03,6.03,6.03,6.42,8.5,8.5,5.55
2021-09-01 01:48:00+00:00,28.89,10.98,5.76,5.76,6.67,8.49,8.49,6.25
2021-09-01 01:50:00+00:00,29.78,10.33,5.46,5.46,7.23,7.88,7.88,6.64
2021-09-01 01:52:00+00:00,28.7,10.11,5.58,5.58,6.29,7.95,7.95,6.4
2021-09-01 01:54:00+00:00,30.12,10.95,6.05,6.05,6.21,8.22,8.22,6.38
2021-09-01 01:56:00+00:00,29.77,9.86,5.33,5.33,7.17,8.49,8.49,6.62
2021-09-01 01:58:00+00:00,28.98,10.04,5.98,5.98,6.46,7.96,7.96,6.630000000000001
2021-09-01 02:00:00+00:00,31.05,10.89,5.55,5.55,7.62,8.52,8.52,6.640000000000001
2021-09-01 02:02:00+00:00,28.83,9.36,5.56,5.56,8.67,7.68,7.68,6.83
2021-09-01 02:04:00+00:00,28.68,10.37,5.25,5.25,8.6,9.29,9.29,6.4
2021-09-01 02:06:00+00:00,29.64,10.81,5.34,5.34,7.57,9.12,9.12,7.0
2021-09-01 02:08:00+00:00,30.05,9.93,4.84,4.84,7.91,7.98,7.98,7.04
2021-09-01 02:10:00+00:00,29.31,10.26,4.79,4.79,7.92,7.71,7.71,7.41
2021-09-01 02:12:00+00:00,30.12,11.41,5.87,5.87,7.68,8.8,8.8,7.25
2021-09-01 02:14:00+00:00,30.87,10.12,5.26,5.26,7.79,8.79,8.79,7.045
2021-09-01 02:16:00+00:00,29.71,10.09,5.79,5.79,8.26,8.9,8.9,6.84
2021-09-01 02:18:00+00:00,30.9,10.79,5.47,5.47,8.17,8.65,8.65,7.07
2021-09-01 02:20:00+00:00,30.09,10.07,6.11,6.11,7.98,8.47,8.47,7.71
2021-09-01 02:22:00+00:00,31.3,11.43,5.86,5.86,7.6,8.62,8.62,7.48
2021-09-01 02:24:00+00:00,32.11,11.16,5.33,5.33,8.05,8.9,8.9,6.95
2021-09-01 02:26:00+00:00,32.17,11.48,5.91,5.91,8.03,8.14,8.14,7.85
2021-09-01 02:28:00+00:00,31.26,11.12,6.35,6.35,7.76,8.93,8.93,7.87
2021-09-01 02:30:00+00:00,30.96,11.55,5.55,5.55,9.27,9.25,9.25,7.575
2021-09-01 02:32:00+00:00,30.89,9.98,6.81,6.81,7.67,9.39,9.39,7.28
2021-09-01 02:34:00+00:00,31.0,11.42,6.38,6.38,7.43,9.66,9.66,7.53
2021-09-01 02:36:00+00:00,30.82,11.55,6.05,6.05,7.19,8.59,8.59,8.11
2021-09-01 02:38:00+00:00,31.09,10.91,5.87,5.87,6.41,9.33,9.33,7.38
2021-09-01 02:40:00+00:00,31.65,11.89,6.42,6.42,7.36,9.19,9.19,7.74
2021-09-01 02:42:00+00:00,30.96,11.64,6.48,6.48,7.6,8.75,8.75,6.82
2021-09-01 02:44:00+00:00,31.61,9.93,6.12,6.12,7.71,8.9,8.9,6.39
2021-09-01 02:46:00+00:00,32.54,12.05,5.45,5.45,7.07,10.32,10.32,7.352499999999999
2021-09-01 02:48:00+00:00,32.12,11.35,5.79,5.79,7.8,9.61,9.61,8.315
2021-09-01 02:50:00+00:00,30.72,11.75,5.69,5.69,7.68,10.24,10.24,8.462499999999999
2021-09-01 02:52:00+00:00,30.91,12.98,6.59,6.59,9.19,9.83,9.83,8.61
2021-09-01 02:54:00+00:00,32.56,12.72,5.91,5.91,7.9,9.86,9.86,8.2
2021-09-01 02:56:00+00:00,31.38,13.53,5.51,5.51,8.48,9.53,9.53,9.31
2021-09-01 02:58:00+00:00,32.29,12.29,5.96,5.96,7.95,9.69,9.69,8.66
2021-09-01 03:00:00+00:00,33.21,10.98,7.0,7.0,8.47,10.49,10.49,8.11
2021-09-01 03:02:00+00:00,32.02,10.76,6.1,6.1,8.51,9.6,9.6,8.145
2021-09-01 03:04:00+00:00,32.4,10.21,5.7,5.7,8.6,8.98,8.98,8.18
2021-09-01 03:06:00+00:00,33.11,11.53,6.52,6.52,8.55,8.55,8.55,8.86
2021-09-01 03:08:00+00:00,33.17,11.61,6.78,6.78,8.68,8.83,8.83,8.2
2021-09-01 03:10:00+00:00,32.15,10.86,6.56,6.56,8.65,9.39,9.39,8.78
2021-09-01 03:12:00+00:00,32.47,12.89,5.88,5.88,7.47,8.76,8.76,7.69
2021-09-01 03:14:00+00:00,32.37,12.28,7.26,7.26,8.19,9.25,9.25,7.65
2021-09-01 03:16:00+00:00,32.35,12.79,6.59,6.59,8.18,9.53,9.53,7.85
2021-09-01 03:18:00+00:00,33.59,12.97,6.12,6.12,8.54,9.54,9.54,7.8374999999999995
2021-09-01 03:20:00+00:00,32.55,12.12,5.79,5.79,8.4,8.97,8.97,7.824999999999999
2021-09-01 03:22:00+00:00,33.51,12.75,6.07,6.07,9.33,9.59,9.59,8.57
2021-09-01 03:24:00+00:00,33.75,13.05,6.67,6.67,8.57,10.16,10.16,8.8
2021-09-01 03:26:00+00:00,32.83,12.91,6.5,6.5,8.0,8.84,8.84,8.37
2021-09-01 03:28:00+00:00,34.11,12.84,6.83,6.83,8.62,9.39,9.39,8.81
2021-09-01 03:30:00+00:00,33.0,12.91,5.46,5.46,9.92,8.46,8.46,8.1
2021-09-01 03:32:00+00:00,34.26,14.49,6.59,6.59,10.0,8.5,8.5,7.0
2021-09-01 03:34:00+00:00,33.64,16.4,6.43,6.43,8.96,8.55,8.55,8.195
2021-09-01 03:36:00+00:00,33.07,15.47,7.47,7.47,8.85,8.86,8.86,9.39
2021-09-01 03:38:00+00:00,34.75,15.43,6.6,6.6,9.4,9.37,9.37,9.23
2021-09-01 03:40:00+00:00,34.24,15.41,6.86,6.86,9.58,7.79,7.79,8.85
2021-09-01 03:42:00+00:00,35.21,15.62,6.31,6.31,9.17,9.02,9.02,9.02
2021-09-01 03:44:00+00:00,35.74,16.88,5.86,5.86,11.18,9.3,9.3,9.63
2021-09-01 03:46:00+00:00,34.95,14.19,6.21,6.21,10.34,9.03,9.03,8.55
2021-09-01 03:48:00+00:00,34.57,16.76,5.95,5.95,11.47,8.05,8.05,9.0
2021-09-01 03:50:00+00:00,34.4,17.62,5.89,5.89,11.71,8.81,8.81,8.99
2021-09-01 03:52:00+00:00,35.77,16.6,5.92,5.92,10.69,8.74,8.74,8.98
2021-09-01 03:54:00+00:00,36.19,18.96,6.4,6.4,11.23,8.98,8.98,9.77
2021-09-01 03:56:00+00:00,35.55,18.12,6.39,6.39,10.73,9.5,9.5,9.26
2021-09-01 03:58:00+00:00,35.47,20.05,6.84,6.84,9.72,9.23,9.23,8.31
2021-09-01 04:00:00+00:00,37.34,20.71,6.17,6.17,10.86,9.46,9.46,9.65
2021-09-01 04:02:00+00:00,35.88,19.92,7.25,7.25,10.28,8.03,8.03,9.0
2021-09-01 04:04:00+00:00,36.51,19.44,6.46,6.46,10.05,9.29,9.29,9.74
2021-09-01 04:06:00+00:00,36.79,19.67,7.49,7.49,10.43,9.28,9.28,9.754999999999999
2021-09-01 04:08:00+00:00,36.39,20.41,6.5,6.5,10.28,9.71,9.71,9.77
2021-09-01 04:10:00+00:00,36.96,19.02,6.59,6.59,10.03,9.4,9.4,9.31
2021-09-01 04:12:00+00:00,37.07,18.95,7.43,7.43,10.22,9.25,9.25,9.09
2021-09-01 04:14:00+00:00,37.33,20.0,7.71,7.71,10.25,9.91,9.91,9.43
2021-09-01 04:16:00+00:00,36.72,20.42,6.61,6.61,11.14,9.78,9.78,9.38
2021-09-01 04:18:00+00:00,37.24,20.6,6.33,6.33,10.02,10.47,10.47,9.62
2021-09-01 04:20:00+00:00,37.91,20.36,7.02,7.02,11.02,9.25,9.25,9.12
2021-09-01 04:22:00+00:00,37.5,22.67,6.54,6.54,11.27,9.86,9.86,9.3325
2021-09-01 04:24:00+00:00,38.31,18.47,7.86,7.86,10.89,10.77,10.77,9.545
2021-09-01 04:26:00+00:00,37.07,21.89,7.36,7.36,11.44,10.71,10.71,9.56
2021-09-01 04:28:00+00:00,38.65,19.76,6.42,6.42,11.03,10.34,10.34,9.89
2021-09-01 04:30:00+00:00,37.88,22.44,8.12,8.12,10.12,9.9,9.9,9.79
2021-09-01 04:32:00+00:00,38.71,21.42,7.03,7.03,10.25,10.76,10.76,9.28
2021-09-01 04:34:00+00:00,37.34,23.53,6.79,6.79,10.08,10.69,10.69,9.75
2021-09-01 04:36:00+00:00,38.81,20.31,7.55,7.55,10.16,10.33,10.33,9.73
2021-09-01 04:38:00+00:00,39.06,22.05,7.53,7.53,9.05,10.66,10.66,10.0675
2021-09-01 04:40:00+00:00,38.41,21.33,7.36,7.36,9.29,11.64,11.64,10.405000000000001
2021-09-01 04:42:00+00:00,38.02,23.23,8.12,8.12,8.6,12.05,12.05,9.7
2021-09-01 04:44:00+00:00,37.91,28.14,7.59,7.59,9.34,16.33,16.33,10.68
2021-09-01 04:46:00+00:00,39.06,28.15,7.55,7.55,9.5,18.4,18.4,10.79
2021-09-01 04:48:00+00:00,38.72,29.49,7.5,7.5,10.0,13.64,13.64,10.96
2021-09-01 04:50:00+00:00,37.66,30.04,7.1,7.1,9.82,17.4,17.4,9.89
2021-09-01 04:52:00+00:00,38.33,31.11,8.95,8.95,9.98,14.2,14.2,10.56
2021-09-01 04:54:00+00:00,39.15,29.67,8.35,8.35,9.75,19.04,19.04,10.535
2021-09-01 04:56:00+00:00,37.85,31.05,8.62,8.62,8.55,15.83,15.83,10.51
2021-09-01 04:58:00+00:00,38.14,31.83,8.54,8.54,9.73,13.17,13.17,9.88
2021-09-01 05:00:00+00:00,37.76,29.98,8.96,8.96,9.82,12.53,12.53,10.36
2021-09-01 05:02:00+00:00,38.25,31.41,8.5,8.5,8.87,11.58,11.58,11.39
2021-09-01 05:04:00+00:00,38.18,31.38,9.03,9.03,10.13,11.2,11.2,11.56
2021-09-01 05:06:00+00:00,38.19,31.03,8.11,8.11,9.6,9.97,9.97,11.43
2021-09-01 05:08:00+00:00,36.81,31.03,9.05,9.05,10.04,11.41,11.41,11.52
2021-09-01 05:10:00+00:00,36.65,31.16,10.68,10.68,9.56,10.93,10.93,11.4575
2021-09-01 05:12:00+00:00,38.86,32.89,10.71,10.71,9.38,11.35,11.35,11.395
2021-09-01 05:14:00+00:00,37.28,32.24,9.73,9.73,9.55,10.58,10.58,11.58
2021-09-01 05:16:00+00:00,38.18,32.69,9.24,9.24,10.1,10.45,10.45,11.91
2021-09-01 05:18:00+00:00,37.76,32.26,10.21,10.21,9.48,10.28,10.28,11.23
2021-09-01 05:20:00+00:00,38.0,33.04,10.3,10.3,9.25,10.18,10.18,12.48
2021-09-01 05:22:00+00:00,38.45,33.29,10.75,10.75,10.9,9.86,9.86,11.27
2021-09-01 05:24:00+00:00,38.05,31.67,12.04,12.04,10.17,10.21,10.21,12.56
2021-09-01 05:26:00+00:00,38.13,32.81,11.6,11.6,10.82,11.2,11.2,12.3975
2021-09-01 05:28:00+00:00,39.09,33.27,10.66,10.66,10.61,9.61,9.61,12.235
2021-09-01 05:30:00+00:00,37.77,34.28,11.88,11.88,10.33,11.05,11.05,12.28
2021-09-01 05:32:00+00:00,37.84,34.4,12.59,12.59,10.52,9.95,9.95,11.76
2021-09-01 05:34:00+00:00,39.22,34.07,14.09,14.09,10.4,10.39,10.39,13.38
2021-09-01 05:36:00+00:00,38.39,34.14,12.91,12.91,10.0,9.1,9.1,13.13
2021-09-01 05:38:00+00:00,36.91,34.27,14.29,14.29,11.32,9.67,9.67,13.04
2021-09-01 05:40:00+00:00,38.05,33.42,13.0,13.0,10.88,9.76,9.76,12.44
2021-09-01 05:42:00+00:00,38.65,35.34,14.16,14.16,10.39,9.58,9.58,12.692499999999999
2021-09-01 05:44:00+00:00,39.08,34.73,14.6,14.6,10.05,9.25,9.25,12.945
2021-09-01 05:46:00+00:00,38.36,33.97,16.02,16.02,10.71,9.47,9.47,13.32
2021-09-01 05:48:00+00:00,38.64,34.64,16.14,16.14,10.86,9.5,9.5,14.14
2021-09-01 05:50:00+00:00,39.0,30.86,16.54,16.54,10.14,9.05,9.05,13.19
2021-09-01 05:52:00+00:00,39.05,30.4,16.68,16.68,9.7,7.73,7.73,13.04
2021-09-01 05:54:00+00:00,39.1,34.21,17.25,17.25,10.57,7.86,7.86,13.87
2021-09-01 05:56:00+00:00,38.35,36.02,18.55,18.55,11.15,8.55,8.55,14.15
2021-09-01 05:58:00+00:00,40.22,34.13,18.54,18.54,11.55,8.18,8.18,13.467500000000001
2021-09-01 06:00:00+00:00,38.69,34.37,18.3,18.3,10.91,8.56,8.56,12.785
2021-09-01 06:02:00+00:00,40.25,35.64,20.72,20.72,10.03,8.57,8.57,15.02
2021-09-01 06:04:00+00:00,38.41,35.79,20.49,20.49,11.19,8.17,8.17,14.96
2021-09-01 06:06:00+00:00,39.26,37.09,20.67,20.67,10.67,8.26,8.26,14.94
2021-09-01 06:08:00+00:00,38.98,34.75,20.56,20.56,10.12,8.21,8.21,13.41
2021-09-01 06:10:00+00:00,37.84,34.77,21.39,21.39,11.41,8.81,8.81,22.25
2021-09-01 06:12:00+00:00,39.39,36.42,22.47,22.47,11.81,8.38,8.38,15.69
2021-09-01 06:14:00+00:00,38.42,36.11,22.67,22.67,10.89,8.45,8.45,15.355
2021-09-01 06:16:00+00:00,38.7,36.02,21.98,21.98,11.58,8.17,8.17,15.02
2021-09-01 06:18:00+00:00,39.03,33.14,23.83,23.83,10.76,8.84,8.84,16.19
2021-09-01 06:20:00+00:00,38.42,35.34,22.24,22.24,11.53,8.44,8.44,15.74
2021-09-01 06:22:00+00:00,39.61,34.98,24.07,24.07,10.67,9.09,9.09,16.86
2021-09-01 06:24:00+00:00,38.22,35.82,23.5,23.5,11.16,9.07,9.07,15.24
2021-09-01 06:26:00+00:00,39.27,36.05,26.15,26.15,9.54,8.19,8.19,15.69
2021-09-01 06:28:00+00:00,38.16,36.12,26.89,26.89,10.48,8.91,8.91,14.31
2021-09-01 06:30:00+00:00,38.06,35.82,25.57,25.57,10.48,8.18,8.18,14.690000000000001
2021-09-01 06:32:00+00:00,37.76,36.51,25.51,25.51,10.71,7.97,7.97,15.07
2021-09-01 06:34:00+00:00,37.71,35.49,27.28,27.28,10.32,9.29,9.29,15.3
2021-09-01 06:36:00+00:00,37.46,35.29,27.76,27.76,10.75,8.52,8.52,15.36
2021-09-01 06:38:00+00:00,38.18,35.66,26.93,26.93,10.46,8.67,8.67,16.13
2021-09-01 06:40:00+00:00,38.27,36.44,27.83,27.83,10.68,8.28,8.28,16.55
2021-09-01 06:42:00+00:00,37.91,36.33,28.43,28.43,11.43,8.17,8.17,15.18
2021-09-01 06:44:00+00:00,37.76,36.7,28.39,28.39,11.27,9.31,9.31,14.29
2021-09-01 06:46:00+00:00,36.21,35.65,29.04,29.04,11.25,8.87,8.87,14.719999999999999
2021-09-01 06:48:00+00:00,37.27,36.32,29.53,29.53,11.11,8.33,8.33,15.149999999999999
2021-09-01 06:50:00+00:00,37.65,36.97,29.8,29.8,11.46,8.88,8.88,14.89
2021-09-01 06:52:00+00:00,36.75,34.21,30.45,30.45,11.26,8.8,8.8,14.59
2021-09-01 06:54:00+00:00,37.38,33.11,29.65,29.65,11.2,8.85,8.85,16.25
2021-09-01 06:56:00+00:00,36.75,33.2,30.86,30.86,11.11,8.6,8.6,15.95
2021-09-01 06:58:00+00:00,37.02,32.59,31.98,31.98,11.29,9.42,9.42,16.04
2021-09-01 07:00:00+00:00,36.33,33.96,30.96,30.96,11.29,8.68,8.68,16.88
2021-09-01 07:02:00+00:00,35.71,34.61,30.73,30.73,11.07,9.09,9.09,16.405
2021-09-01 07:04:00+00:00,35.79,33.62,31.25,31.25,10.63,9.59,9.59,15.93
2021-09-01 07:06:00+00:00,35.86,34.02,29.87,29.87,10.87,8.69,8.69,15.91
2021-09-01 07:08:00+00:00,36.16,33.54,32.45,32.45,10.57,8.44,8.44,15.51
2021-09-01 07:10:00+00:00,33.74,34.44,30.53,30.53,10.15,9.34,9.34,15.38
2021-09-01 07:12:00+00:00,34.95,33.87,31.82,31.82,11.0,8.5,8.5,18.23
2021-09-01 07:14:00+00:00,34.28,34.38,30.43,30.43,10.95,9.14,9.14,16.28
2021-09-01 07:16:00+00:00,32.98,35.05,31.65,31.65,10.29,8.5,8.5,16.64
2021-09-01 07:18:00+00:00,34.35,34.83,32.27,32.27,11.62,9.12,9.12,17.0075
2021-09-01 07:20:00+00:00,34.25,34.67,31.62,31.62,10.72,9.33,9.33,17.375
2021-09-01 07:22:00+00:00,33.38,34.16,31.54,31.54,11.21,7.71,7.71,17.62
2021-09-01 07:24:00+00:00,34.35,35.72,32.93,32.93,11.21,8.75,8.75,18.57
2021-09-01 07:26:00+00:00,34.41,33.07,32.96,32.96,11.29,7.39,7.39,18.08
2021-09-01 07:28:00+00:00,33.0,33.48,33.18,33.18,10.27,8.32,8.32,18.24
2021-09-01 07:30:00+00:00,34.21,35.24,34.63,34.63,11.05,8.59,8.59,19.04
2021-09-01 07:32:00+00:00,34.33,36.14,34.07,34.07,10.78,8.49,8.49,17.53
2021-09-01 07:34:00+00:00,35.07,34.82,33.86,33.86,11.04,9.48,9.48,18.2
2021-09-01 07:36:00+00:00,34.03,36.25,35.57,35.57,11.18,8.97,8.97,18.869999999999997
2021-09-01 07:38:00+00:00,33.91,38.02,34.32,34.32,10.62,9.05,9.05,18.64
2021-09-01 07:40:00+00:00,34.24,37.61,35.15,35.15,10.72,8.71,8.71,20.0
2021-09-01 07:42:00+00:00,34.58,36.69,34.95,34.95,11.02,8.89,8.89,19.71
2021-09-01 07:44:00+00:00,34.6,37.29,34.73,34.73,11.91,9.34,9.34,19.52
2021-09-01 07:46:00+00:00,32.05,37.12,35.7,35.7,9.95,9.36,9.36,19.28
2021-09-01 07:48:00+00:00,33.8,37.7,35.95,35.95,11.0,8.9,8.9,19.05
2021-09-01 07:50:00+00:00,33.55,37.96,36.73,36.73,10.47,8.96,8.96,19.345
2021-09-01 07:52:00+00:00,34.4,38.08,35.95,35.95,11.04,8.9,8.9,19.64
2021-09-01 07:54:00+00:00,33.67,38.88,36.2,36.2,10.68,8.69,8.69,18.02
2021-09-01 07:56:00+00:00,33.78,37.76,35.76,35.76,9.95,9.12,9.12,20.42
2021-09-01 07:58:00+00:00,33.53,38.12,36.48,36.48,11.34,8.45,8.45,19.36
2021-09-01 08:00:00+00:00,34.59,38.52,36.65,36.65,10.78,8.95,8.95,20.74
2021-09-01 08:02:00+00:00,33.09,39.4,36.44,36.44,9.81,9.62,9.62,19.33
2021-09-01 08:04:00+00:00,32.98,38.21,37.68,37.68,11.52,9.72,9.72,18.7
2021-09-01 08:06:00+00:00,34.21,37.0,37.23,37.23,11.0,9.41,9.41,18.942500000000003
2021-09-01 08:08:00+00:00,33.07,38.57,37.12,37.12,10.39,9.0,9.0,19.185000000000002
2021-09-01 08:10:00+00:00,34.33,39.18,36.91,36.91,9.47,9.19,9.19,19.36
2021-09-01 08:12:00+00:00,34.84,39.64,37.17,37.17,11.41,8.7,8.7,19.17
2021-09-01 08:14:00+00:00,33.49,38.93,37.6,37.6,11.28,9.32,9.32,23.42
2021-09-01 08:16:00+00:00,33.56,36.91,38.34,38.34,10.54,9.32,9.32,22.91
2021-09-01 08:18:00+00:00,34.09,36.85,37.79,37.79,9.47,9.13,9.13,20.98
2021-09-01 08:20:00+00:00,33.29,34.71,38.61,38.61,10.04,10.66,10.66,19.91
2021-09-01 08:22:00+00:00,33.5,36.36,38.09,38.09,10.09,9.61,9.61,20.16
2021-09-01 08:24:00+00:00,34.16,37.21,38.54,38.54,9.75,9.03,9.03,20.41
2021-09-01 08:26:00+00:00,34.23,35.75,38.18,38.18,10.21,8.61,8.61,20.08
2021-09-01 08:28:00+00:00,34.71,35.12,37.68,37.68,10.61,9.09,9.09,20.36
2021-09-01 08:30:00+00:00,34.57,33.95,38.09,38.09,11.28,8.88,8.88,20.64
2021-09-01 08:32:00+00:00,35.49,35.4,37.82,37.82,9.96,8.36,8.36,19.61
2021-09-01 08:34:00+00:00,34.98,34.68,38.68,38.68,9.68,8.15,8.15,19.67
2021-09-01 08:36:00+00:00,34.65,37.39,39.2,39.2,10.18,8.6,8.6,21.54
2021-09-01 08:38:00+00:00,34.25,33.68,39.41,39.41,10.53,9.64,9.64,21.05
2021-09-01 08:40:00+00:00,34.42,36.98,39.34,39.34,10.8,8.0,8.0,20.560000000000002
2021-09-01 08:42:00+00:00,34.32,37.46,38.7,38.7,10.23,8.77,8.77,20.8
2021-09-01 08:44:00+00:00,33.88,35.24,39.31,39.31,10.57,8.12,8.12,20.58
2021-09-01 08:46:00+00:00,36.17,35.49,38.13,38.13,10.21,9.98,9.98,19.73
2021-09-01 08:48:00+00:00,34.57,36.36,39.85,39.85,9.76,8.63,8.63,20.32
2021-09-01 08:50:00+00:00,35.28,37.25,39.25,39.25,10.96,9.12,9.12,21.08
2021-09-01 08:52:00+00:00,34.65,38.0,38.61,38.61,10.4,9.19,9.19,22.25
2021-09-01 08:54:00+00:00,35.75,34.93,40.21,40.21,9.63,8.7,8.7,21.490000000000002
2021-09-01 08:56:00+00:00,35.42,37.13,38.41,38.41,10.11,9.16,9.16,20.73
2021-09-01 08:58:00+00:00,34.5,36.16,39.84,39.84,10.64,9.33,9.33,21.07
2021-09-01 09:00:00+00:00,35.86,37.0,38.71,38.71,10.61,8.43,8.43,20.97
2021-09-01 09:02:00+00:00,35.29,38.67,38.74,38.74,11.2,9.37,9.37,20.87
2021-09-01 09:04:00+00:00,35.46,39.3,39.74,39.74,9.79,9.55,9.55,22.84
2021-09-01 09:06:00+00:00,34.96,40.21,39.67,39.67,11.29,9.03,9.03,21.64
2021-09-01 09:08:00+00:00,35.84,39.43,40.04,40.04,10.2,8.95,8.95,22.55
2021-09-01 09:10:00+00:00,36.3,40.63,39.04,39.04,11.73,8.07,8.07,22.509999999999998
2021-09-01 09:12:00+00:00,36.96,40.44,38.84,38.84,10.6,8.95,8.95,22.47
2021-09-01 09:14:00+00:00,36.56,40.41,39.09,39.09,10.34,8.17,8.17,21.4
2021-09-01 09:16:00+00:00,35.61,40.98,38.77,38.77,11.02,9.45,9.45,22.19
2021-09-01 09:18:00+00:00,35.79,39.09,38.95,38.95,11.09,9.47,9.47,23.92
2021-09-01 09:20:00+00:00,36.4,40.13,38.88,38.88,10.6,9.27,9.27,21.12
